Question,Equation,Answer,Numbers
"Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",/ - number0 number1 number2,4.0,39.0 19.0 5.0
"Mike had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each , how much money could he earn ?",* number2 - number0 number1,30.0,15.0 9.0 5.0
Mika had number0 stickers . She bought number1 stickers from a store in the mall and got number2 stickers for her birthday . Then Mika gave number3 of the stickers to her sister and used number4 to decorate a greeting card . How many stickers does Mika have left ?,- + + number0 number1 number0 + number3 number4,2.0,20.0 26.0 20.0 6.0 58.0
Kate has number0 pennies . John has number1 pennies . How many more pennies does John have ?,- number1 number0,165.0,223.0 388.0
John needs $ number0 . He has $ number1 . How much more money does he need ?,- number0 number1,1.75,2.5 0.75
Donna weighs number0 pounds . Willie weighs number1 pounds . How much heavier is Donna than Willie ?,- number0 number1,18.0,69.0 51.0
Charles has number0 Skittles . Diana takes number1 away . How many Skittles will Charles have ?,- number0 number1,18.0,25.0 7.0
Sally had number0 quarters in her bank . She spent number1 of her quarters . How many quarters does she have now ?,- number0 number1,342.0,760.0 418.0
There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer . How many pencils are now there in all ?,+ number0 number1,215,115.0 100.0
Willie starts with number0 stickers . He gives number1 to Emily . How many stickers does Willie end with ?,- number0 number1,29.0,36.0 7.0
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",/ - number0 number1 number2,5.0,45.0 35.0 2.0
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,/ number0 number1,7.0,14.0 2.0
"For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row . How many chairs have been put out for the play ?",* number0 number1,432.0,27.0 16.0
Charlie has number0 more snowballs than Lucy . She has number1 snowballs . How many does Charlie have ?,+ number0 number1,50.0,31.0 19.0
Mary starts with number0 eggs . She finds another number1 . How many eggs does Mary end with ?,+ number0 number1,31.0,27.0 4.0
"A bathing suit manufacturer has a supply of number0 bathing suits for men . In addition , it has number1 bathing suits for women . How many bathing suits are available overall ?",+ number0 number1,19766.0,14797.0 4969.0
Sam had number0 dimes in his bank . His dad gave him number1 more dimes . How many dimes does Sam have now ?,+ number0 number1,16.0,9.0 7.0
A chef bought number0 kilograms of almonds and number1 kilograms of pecans . How many kilograms of nuts did the chef buy in all ?,+ number0 number1,0.52,0.14 0.38
Mrs. Santiago has number0 red roses . Mrs. Garrett has number1 . How many more red roses does Mrs. Santiago have than Mrs. Garrett ?,- number0 number1,34.0,58.0 24.0
Mrs. Hilt reads number0 books a day . How many books does she read in number1 days ?,* number0 number1,15.0,5.0 3.0
"Sally found number0 seashells , Tom found number1 seashells , and Jessica found number2 seashells on the beach . How many seashells did they find together ?",+ + number0 number1 number2,21,9.0 7.0 5.0
"While playing a video game , Paul scored number0 points . He and his cousin together have a total of number1 points . How many points does Paul 's cousin have ?",- number1 number0,2713.0,3103.0 5816.0
Elisa has number0 dollars . How many more dollars does she have to earn to have number1 dollars ?,- number1 number0,16.0,37.0 53.0
Mildred collects number0 oranges . Mildred 's father gives Mildred number1 more . How many oranges does Mildred have ?,+ number0 number1,79.0,77.0 2.0
Jack is inviting number0 friends to a party . He has number1 cookies . How many cookies will each friend get ?,/ number1 number0,1.0,4.0 4.0
Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was number0 inches long and the orange caterpillar was number1 inches long . How much longer was the green caterpillar than the orange caterpillar ?,- number0 number1,1.8333333333333335,3.0 1.1666666666666667
"number0 people are going to the zoo , and there are number1 buses to take people . How many will go in each bus if the same number go in each one and all of the people go to the zoo ?",/ number0 number1,73.0,219.0 3.0
Darnel sprinted number0 lap and then took a break by jogging number1 lap . How much farther did Darnel sprint than jog ?,- number0 number1,0.125,0.875 0.75
"A book store had number0 books in the bargin bin . If they sold number1 books , but then put number2 more in the bin , how many books would be in the bin ?",- + number0 number2 number1,11.0,4.0 3.0 10.0
"Michael has number0 blocks stored in boxes . If there are number1 boxes , how many blocks must go in each box ?",/ number0 number1,2.0,16.0 8.0
"Nina did a running drill to get in shape for soccer season . First , Nina ran number0 of a mile . Then she ran number1 of a mile and number2 of a mile more . How many miles did Nina run in total ?",+ + number0 number1 number2,0.8333333333333334,0.08333333333333333 0.08333333333333333 0.6666666666666666
"Michelle has number0 crayons . Janet has number1 crayons . If Janet gives all of her crayons to Michelle , how many crayons will Michelle have ?",+ number0 number1,4.0,2.0 2.0
Adam has $ number0 to buy an airplane that costs $ number1 . How much change will he get ?,- number0 number1,0.72,5.0 4.28
"A pet shelter had number0 puppies when another number1 were brought in . If number2 puppies a day are adopted , how long would it take for all of them to be adopted ?",/ + number0 number1 number2,9.0,2.0 34.0 4.0
Wanda has number0 blocks . Theresa gives Wanda number1 more . How many blocks does Wanda have in all ?,+ number0 number1,83.0,4.0 79.0
Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples . How many cards does Emily have ?,+ number0 number1,70.0,63.0 7.0 13.0
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,- + number0 number2 number1,47.0,11.0 6.0 42.0
Adam has number0 blocks . Ann has with number1 blocks . Ann finds another number2 . How many blocks does Ann end with ?,+ number1 number2,53.0,13.0 9.0 44.0
Kyle jogged number0 laps in P.E. class and number1 laps during track practice . How many laps did Kyle jog in all ?,+ number0 number1,3.25,1.125 2.125
Jovana had number0 pounds of shells in her bucket . She added some shells and now has number1 pounds of shells . How many pounds did she add ?,- number1 number0,23.0,5.0 28.0
"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",/ - number0 number1 number2,7.0,75.0 19.0 8.0
The farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily . How many sacks are harvested every day ?,* number0 number1,360.0,45.0 8.0
Sara has number0 black and number1 red marbles . Fred took number2 of Sara 's black marbles . How many black marbles does Sara now have ?,- number0 number2,559,792.0 122.0 233.0
"A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers , how many customers would he have ?",- + number0 number2 number1,50.0,14.0 3.0 39.0
"It rained number0 inches on Monday . On Tuesday , it rained number1 inches less than on Monday . How much did it rain on Tuesday ?",- number0 number1,0.2,0.9 0.7
"Mike has number0 orange marbles , he gave Sam number1 of the marbles . How many orange marbles does he now have ?",- number0 number1,4.0,8.0 4.0
There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today . How many short trees will the park have when the workers are finished ?,+ number0 number2,12,3.0 6.0 9.0
"At the arcade , Tom won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he spent number2 of his tickets on a hat , how many tickets does Tom have left ?",- + number0 number1 number2,50.0,32.0 25.0 7.0
"Fred went to number0 basketball games this year , but missed number1 . He went to number2 games last year . How many basketball games did Fred go to in total ?",+ number0 number2,47,36.0 35.0 11.0
"Emily was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level , how many lives would she have ?",- + number0 number2 number1,41.0,42.0 25.0 24.0
"In one week , an airplane pilot flew number0 miles on Tuesday and number1 miles on Thursday . If the pilot flies the same number of miles number2 weeks in a row , how many miles does the pilot fly in all ?",* number2 + number0 number1,7827.0,1134.0 1475.0 3.0
